Symbol,EarliestDate,LatestDate
BTCUSDT,8/17/2017,5/9/2024
ETHUSDT,8/17/2017,5/9/2024
BNBUSDT,11/6/2017,5/9/2024
NEOUSDT,11/20/2017,5/9/2024
LTCUSDT,12/13/2017,5/9/2024
QTUMUSDT,3/19/2018,5/9/2024
ADAUSDT,4/17/2018,5/9/2024
XRPUSDT,5/4/2018,5/9/2024
EOSUSDT,5/28/2018,5/9/2024
TUSDUSDT,5/31/2018,5/9/2024
IOTAUSDT,5/31/2018,5/9/2024
XLMUSDT,5/31/2018,5/9/2024
ONTUSDT,6/8/2018,5/9/2024
TRXUSDT,6/11/2018,5/9/2024
ETCUSDT,6/12/2018,5/9/2024
ICXUSDT,6/13/2018,5/9/2024
NULSUSDT,7/23/2018,5/9/2024
VETUSDT,7/25/2018,5/9/2024
USDCUSDT,12/15/2018,5/9/2024
LINKUSDT,1/16/2019,5/9/2024
WAVESUSDT,1/18/2019,5/9/2024
ONGUSDT,2/16/2019,5/9/2024
HOTUSDT,2/18/2019,5/9/2024
ZILUSDT,2/19/2019,5/9/2024
ZRXUSDT,2/28/2019,5/9/2024
FETUSDT,2/28/2019,5/9/2024
BATUSDT,3/4/2019,5/9/2024
ZECUSDT,3/21/2019,5/9/2024
IOSTUSDT,3/22/2019,5/9/2024
CELRUSDT,3/25/2019,5/9/2024
DASHUSDT,3/28/2019,5/9/2024
OMGUSDT,4/3/2019,5/9/2024
THETAUSDT,4/10/2019,5/9/2024
ENJUSDT,4/18/2019,5/9/2024
MATICUSDT,4/26/2019,5/9/2024
ATOMUSDT,4/29/2019,5/9/2024
TFUELUSDT,5/24/2019,5/9/2024
ONEUSDT,6/1/2019,5/9/2024
FTMUSDT,6/11/2019,5/9/2024
ALGOUSDT,6/22/2019,5/9/2024
DOGEUSDT,7/5/2019,5/9/2024
DUSKUSDT,7/22/2019,5/9/2024
ANKRUSDT,7/23/2019,5/9/2024
WINUSDT,8/1/2019,5/9/2024
COSUSDT,8/3/2019,5/9/2024
MTLUSDT,8/23/2019,5/9/2024
DENTUSDT,8/27/2019,5/9/2024
KEYUSDT,8/27/2019,5/9/2024
DOCKUSDT,8/27/2019,5/9/2024
WANUSDT,8/27/2019,5/9/2024
FUNUSDT,8/27/2019,5/9/2024
CVCUSDT,8/27/2019,5/9/2024
CHZUSDT,9/6/2019,5/9/2024
BANDUSDT,9/18/2019,5/9/2024
XTZUSDT,9/24/2019,5/9/2024
RENUSDT,9/25/2019,5/9/2024
RVNUSDT,9/25/2019,5/9/2024
HBARUSDT,9/29/2019,5/9/2024
NKNUSDT,10/11/2019,5/9/2024
STXUSDT,10/25/2019,5/9/2024
KAVAUSDT,10/25/2019,5/9/2024
ARPAUSDT,11/6/2019,5/9/2024
IOTXUSDT,11/14/2019,5/9/2024
RLCUSDT,11/14/2019,5/9/2024
CTXCUSDT,11/22/2019,5/9/2024
BCHUSDT,11/28/2019,5/9/2024
TROYUSDT,12/5/2019,5/9/2024
VITEUSDT,12/13/2019,5/9/2024
FTTUSDT,12/20/2019,5/9/2024
